ticker,name,price,currency,price_eur,mcap_eur_b,pe,fwd_pe,pb,div_yield,fcf_yield,debt_equity,num_analysts,sector,dist_high,h52,l52
LNTH,"Lantheus Holdings, Inc.",64.895,USD,54.55073504162861,3.7091309852293977,26.927383,11.673525,3.8442624,0,7.420604694106352,0.55346,13,Healthcare,-41.688381705454226,111.29,47.25
FDS,FactSet Research Systems Inc.,197.94,USD,166.38835802665795,6.235363452310453,12.602035,10.430336,3.4055455,2.15,7.35411518657077,0.71961,16,Financial Services,-58.30998967964784,474.79,191.35
DVN,Devon Energy Corporation,44.23,USD,37.179736665247454,23.3228467993946,10.431604,12.089191,1.8124079,2.21,7.233611778798246,0.56274,27,Energy,-1.1620111731843645,44.75,25.89
NFLX,"Netflix, Inc.",80.945,USD,68.04236455727911,288.6281956092942,31.994072,21.193785,12.8402605,0,7.227849136537377,0.6378199999999999,39,Communication Services,-39.64508071431235,134.115,79.23
AA,Alcoa Corporation,64.015,USD,53.81100706818485,13.935114996177372,14.483031,12.283553,2.7073376,65.0,6.955175552356548,0.39427,12,Basic Materials,-4.383868558625843,66.95,21.53
MTN,"Vail Resorts, Inc.",141.84,USD,119.23069971961789,4.286726080832934,20.408632,17.776129,32.591908,6.21,6.790638796838847,7.30694,11,Consumer Cyclical,-19.184092074525662,175.51,126.16
CWEN,"Clearway Energy, Inc.",39.35,USD,33.077608812513844,6.740345774072788,16.74468,,2.2638361,4.62,6.6159556043274295,1.5987200000000001,4,Utilities,-0.6062136903258448,39.59,25.55
FOXA,Fox Corporation,63.255,USD,53.17215109111978,22.61922400686266,15.1690645,12.230089,2.4615715,88.0,6.561141413032054,0.67389,16,Communication Services,-17.19465898677837,76.39,46.42
PATH,"UiPath, Inc.",12.025,USD,10.108214637115095,5.40536434923062,28.630953,15.764909,3.3402777,0,6.540430060387095,0.04261,15,Technology,-39.39012096774193,19.84,9.38
QLYS,"Qualys, Inc.",112.55,USD,94.60952660351799,3.4150142822137877,20.689339,14.112234,7.1848073,0,6.378490201769457,0.09315,19,Technology,-27.60661220814305,155.47,107.17
PCTY,Paylocity Holding Corporation,109.73,USD,92.23903468861866,5.016107115972955,25.818825,13.161841,5.382352,0,6.285669635468295,0.1409,21,Technology,-49.83542104781933,218.74,109.6
OKTA,"Okta, Inc.",87.915,USD,73.90134634694168,13.097552268716274,79.92273,23.93528,2.2604325,0,6.178922731457016,0.061369999999999994,40,Technology,-31.083273887447373,127.567,75.05
NNN,"NNN REIT, Inc.",43.015,USD,36.15840770191317,6.867234245370291,20.680288,21.292234,1.8478028,5.54,6.1351454739910425,1.10182,16,Real Estate,-2.747004295726874,44.23,35.8
J,Jacobs Solutions Inc.,150.79,USD,126.75406944952891,14.968174216024947,39.786278,18.78591,5.1485248,95.0,6.114982975636137,0.65173,15,Industrials,-10.478508667774879,168.44,105.178215
